Q,long,lat,output,season,,,,,,,,,
249.5785127,6,9,79.12915681,13,,,,,,,,,
369.3453907,8,4,83.45518363,13,,,,,,,,,
226.4157765,1,2,84.400011,13,,,,,,,,,
202.4933207,8,4,74.94034627,13,,,,,,,,,
371.983323,4,6,72.0447761,13,,,,,,,,,
160.3688327,7,2,67.21042449,13,,,,,,,,,
246.104287,7,2,64.81662537,13,,,,,,,,,
266.7361439,1,2,79.53638507,13,,,,,,,,,
269.0105677,7,2,70.32023659,13,,,,,,,,,
285.0280436,7,2,76.28914075,13,,,,,,,,,
97.60202634,6,9,65.86546425,13,,,,,,,,,
329.604297,3,8,80.10523096,13,,,,,,,,,
228.967328,5,3,66.60280116,13,,,,,,,,,
63.52537904,9,1,85.61421543,13,,,,,,,,,
183.8323466,8,4,78.60668433,13,,,,,,,,,
286.6735557,5,3,69.4952729,13,,,,,,,,,
204.6352174,9,1,86.3517391,13,,,,,,,,,
321.7260538,9,1,68.16991784,13,,,,,,,,,
217.0198654,9,1,80.6195485,13,,,,,,,,,
149.3290805,3,8,58.63215594,13,,,,,,,,,
107.0184161,3,8,58.49064788,13,,,,,,,,,
273.0132069,6,9,67.26752357,13,,,,,,,,,
240.8858607,4,6,65.35146443,13,,,,,,,,,
164.0762919,8,4,65.35157827,13,,,,,,,,,
267.3536487,9,1,64.29227441,13,,,,,,,,,
284.1453982,6,9,85.14431825,13,,,,,,,,,
236.2163398,3,8,63.3542565,13,,,,,,,,,
160.1899223,6,9,85.79584381,13,,,,,,,,,
277.143223,6,9,74.50482775,13,,,,,,,,,
177.7804854,9,1,79.82296938,13,,,,,,,,,
224.1992868,2,4,52.1238903,13,,,,,,,,,
268.6521295,2,4,72.90050118,13,,,,,,,,,
194.7019336,9,1,67.88557691,13,,,,,,,,,
186.7713967,1,2,65.95935363,13,,,,,,,,,
338.9366121,4,6,58.09123182,13,,,,,,,,,
400.5226522,7,2,78.97444572,13,,,,,,,,,
212.3567625,8,4,72.04542038,13,,,,,,,,,
258.295676,6,9,90.53468177,13,,,,,,,,,
189.8069757,5,3,68.22925202,13,,,,,,,,,
343.9239688,3,8,81.68290188,13,,,,,,,,,
130.4276081,3,8,66.23048832,13,,,,,,,,,
300.0398727,3,8,67.24809945,13,,,,,,,,,
257.6536184,5,3,87.70868178,13,,,,,,,,,
354.8929842,3,8,92.44671878,13,,,,,,,,,
204.1927243,8,4,66.63779752,13,,,,,,,,,
191.8513794,1,2,64.83454725,13,,,,,,,,,
409.0741188,3,8,60.38970343,13,,,,,,,,,
236.7261749,3,8,76.22382198,13,,,,,,,,,
288.6814356,1,2,63.70442269,13,,,,,,,,,
270.9884495,4,6,64.52629135,13,,,,,,,,,
247.9108124,2,4,61.12796217,13,,,,,,,,,
223.3011806,3,8,50.77470369,13,,,,,,,,,
238.3151165,7,2,67.88837607,13,,,,,,,,,
178.4497812,1,2,49.35372499,13,,,,,,,,,
156.5785447,9,1,61.95634641,13,,,,,,,,,
152.1903722,9,1,74.10173921,13,,,,,,,,,
370.1403649,2,4,74.59876804,13,,,,,,,,,
313.9124293,1,2,93.9778679,13,,,,,,,,,
285.5787207,3,8,62.2595906,13,,,,,,,,,
221.5298913,8,4,70.31975942,13,,,,,,,,,
214.8845318,8,4,69.54066519,13,,,,,,,,,
173.2905954,3,8,65.61944001,5,,,,,,,,,
163.7945648,7,2,78.62782938,5,,,,,,,,,
137.7869442,8,4,68.12417871,5,,,,,,,,,
49.05388201,6,9,65.7344356,5,,,,,,,,,
180.3496262,8,4,60.88584491,5,,,,,,,,,
22.40102569,9,1,60.51661602,5,,,,,,,,,
227.5228762,6,9,78.2883017,5,,,,,,,,,
247.8794467,2,4,87.163731,5,,,,,,,,,
139.92787,8,4,71.72998795,5,,,,,,,,,
205.3038741,8,4,62.31681666,5,,,,,,,,,
44.19964351,9,1,67.67667533,5,,,,,,,,,
268.4401064,5,3,76.24044014,5,,,,,,,,,
180.3269836,5,3,81.73303831,5,,,,,,,,,
337.0241582,2,4,76.50310798,5,,,,,,,,,
252.6891826,1,2,64.26644942,5,,,,,,,,,
219.3763039,1,2,78.61345784,5,,,,,,,,,
165.1322449,6,9,73.72459979,5,,,,,,,,,
207.3372835,2,4,81.26786032,5,,,,,,,,,
117.3430163,5,3,82.7020954,5,,,,,,,,,
103.5614835,1,2,59.70778583,5,,,,,,,,,
153.9835695,1,2,96.27831067,5,,,,,,,,,
170.3618132,8,4,64.39759384,5,,,,,,,,,
106.9824378,3,8,66.94621057,5,,,,,,,,,
123.7779217,8,4,55.1222087,5,,,,,,,,,
106.1032918,7,2,59.90581591,5,,,,,,,,,
246.3831005,7,2,67.01058681,5,,,,,,,,,
146.652539,4,6,58.78952455,5,,,,,,,,,
268.4282016,5,3,53.34088864,5,,,,,,,,,
197.4737208,3,8,64.68528929,5,,,,,,,,,
270.6360835,5,3,43.70355253,5,,,,,,,,,
277.2091998,7,2,86.86231387,5,,,,,,,,,
251.1588318,6,9,62.80003682,5,,,,,,,,,
279.7554709,1,2,85.63410182,5,,,,,,,,,
207.9933829,2,4,66.3265973,5,,,,,,,,,
122.1563873,4,6,64.17223544,5,,,,,,,,,
113.4684766,5,3,77.54219007,5,,,,,,,,,
143.8506846,4,6,69.37498112,5,,,,,,,,,
168.4923118,4,6,65.61991903,5,,,,,,,,,
129.7001124,9,1,68.20889511,5,,,,,,,,,
186.4065801,3,8,69.86512662,5,,,,,,,,,
147.9534065,5,3,64.33395307,5,,,,,,,,,
38.73090507,9,1,69.93302986,5,,,,,,,,,
157.8839876,1,2,52.63365427,5,,,,,,,,,
94.27271497,8,4,62.2674,5,,,,,,,,,
125.9583679,7,2,68.6725511,5,,,,,,,,,
252.2774134,4,6,79.17487129,5,,,,,,,,,
139.9653922,9,1,75.7774757,5,,,,,,,,,
172.6963731,4,6,72.75520684,5,,,,,,,,,
108.2343932,5,3,73.38582695,5,,,,,,,,,
115.9851158,6,9,54.6410685,5,,,,,,,,,
115.5506131,9,1,60.93679907,5,,,,,,,,,
100.4503322,7,2,81.34829061,5,,,,,,,,,
180.0151758,4,6,53.65255978,5,,,,,,,,,
112.5307778,8,4,70.85866294,5,,,,,,,,,
291.6574135,2,4,49.2464481,5,,,,,,,,,
188.3796965,5,3,68.89164562,5,,,,,,,,,
118.8155661,8,4,76.91079824,5,,,,,,,,,
10.56944074,3,8,78.69846075,5,,,,,,,,,
226.7295987,5,3,73.56979799,5,,,,,,,,,
328.4972582,7,2,72.05803975,5,,,,,,,,,
143.9549997,8,4,72.00776229,5,,,,,,,,,
63.90578345,6,9,64.99172878,5,,,,,,,,,
233.809649,8,4,71.38327102,5,,,,,,,,,
297.6148974,1,2,76.92509973,5,,,,,,,,,
193.443056,9,1,74.47265536,5,,,,,,,,,
133.7598,6,9,44.93108137,5,,,,,,,,,
127.864074,8,4,64.96258167,5,,,,,,,,,
179.9373861,5,3,77.68783098,5,,,,,,,,,
25.1348148,2,4,79.35280338,5,,,,,,,,,
285.5898149,9,1,68.02516714,5,,,,,,,,,
185.4298844,8,4,62.82256526,5,,,,,,,,,
247.8334704,6,9,84.36586835,5,,,,,,,,,
102.157478,6,9,63.67627777,5,,,,,,,,,
184.6170747,2,4,65.19776183,5,,,,,,,,,
109.0114995,5,3,83.09205678,5,,,,,,,,,
256.7564018,5,3,59.86283627,5,,,,,,,,,
226.6840972,7,2,65.98636557,5,,,,,,,,,
278.7480534,3,8,72.15492541,5,,,,,,,,,
124.9685014,8,4,62.76706036,5,,,,,,,,,
249.6717938,7,2,77.48722696,5,,,,,,,,,
46.32901898,7,2,66.19015558,5,,,,,,,,,
145.3414011,5,3,79.23954794,5,,,,,,,,,
213.0902054,5,3,81.34950019,5,,,,,,,,,
192.9789113,4,6,56.15336696,5,,,,,,,,,
198.3316952,5,3,66.25701768,5,,,,,,,,,
166.4511628,1,2,66.96314203,5,,,,,,,,,
262.1782365,1,2,60.75299746,5,,,,,,,,,
200.4812704,7,2,66.09883106,5,,,,,,,,,
88.48442165,3,8,94.19826203,5,,,,,,,,,
254.7588016,2,4,63.95605828,5,,,,,,,,,
139.8564487,2,4,79.7981918,5,,,,,,,,,
213.7781968,8,4,65.70278325,5,,,,,,,,,
182.9837586,7,2,66.68305361,5,,,,,,,,,
203.1881869,7,2,62.31961786,10,,,,,,,,,
74.89508933,6,9,90.98593283,10,,,,,,,,,
222.1721452,4,6,78.44706009,10,,,,,,,,,
138.2410704,8,4,84.112716,10,,,,,,,,,
136.7618933,8,4,89.98732385,10,,,,,,,,,
195.814083,3,8,52.88864398,10,,,,,,,,,
251.4323604,1,2,72.71468465,10,,,,,,,,,
209.2542781,7,2,74.36880596,10,,,,,,,,,
172.9889508,1,2,79.37923667,10,,,,,,,,,
235.5614999,4,6,68.07743775,10,,,,,,,,,
142.5434376,9,1,78.79072855,10,,,,,,,,,
171.5035208,5,3,83.2865039,10,,,,,,,,,
116.6077897,9,1,71.75311216,10,,,,,,,,,
159.7017999,1,2,72.4460583,10,,,,,,,,,
146.0824151,6,9,62.36643939,10,,,,,,,,,
158.6486696,9,1,80.07830277,10,,,,,,,,,
130.9975651,5,3,78.25239524,10,,,,,,,,,
253.2924769,3,8,64.97130935,10,,,,,,,,,
300.5692184,4,6,68.13033845,10,,,,,,,,,
257.4439423,4,6,58.0259405,10,,,,,,,,,
234.2924639,8,4,71.63354013,10,,,,,,,,,
330.1945899,7,2,73.74244467,10,,,,,,,,,
191.2285859,3,8,78.54382533,10,,,,,,,,,
278.3174777,5,3,74.55422176,10,,,,,,,,,
195.4858168,2,4,58.79312668,10,,,,,,,,,
274.6872449,9,1,65.39699038,10,,,,,,,,,
244.5726823,6,9,72.32097848,10,,,,,,,,,
268.5653677,7,2,61.64545919,10,,,,,,,,,
352.4011078,1,2,76.05957803,10,,,,,,,,,
189.5839483,6,9,71.6867341,10,,,,,,,,,
65.25200776,9,1,67.84066809,10,,,,,,,,,
130.8392321,3,8,65.93790614,10,,,,,,,,,
182.9308249,5,3,60.267121,10,,,,,,,,,
206.0209578,5,3,74.57613634,10,,,,,,,,,
295.5166378,3,8,81.89901564,10,,,,,,,,,
149.6710157,7,2,72.50004805,10,,,,,,,,,
298.6783968,1,2,82.04020458,10,,,,,,,,,
376.9912404,1,2,70.54639062,10,,,,,,,,,
294.1694392,9,1,78.83222372,10,,,,,,,,,
180.0118971,8,4,72.78938533,10,,,,,,,,,
35.9166943,6,9,55.18325827,10,,,,,,,,,
142.1796042,8,4,61.1920735,10,,,,,,,,,
82.69064951,5,3,62.44534301,10,,,,,,,,,
326.9272231,6,9,81.06183441,10,,,,,,,,,
393.7155399,3,8,85.72360971,10,,,,,,,,,
121.7609984,1,2,54.92295868,10,,,,,,,,,
296.0503154,8,4,56.14466206,10,,,,,,,,,
241.7792471,4,6,81.25892739,10,,,,,,,,,
106.8344912,1,2,55.60830651,10,,,,,,,,,
313.2265239,4,6,66.28950463,10,,,,,,,,,
256.6316702,8,4,65.37068371,10,,,,,,,,,
150.8544111,5,3,42.61044345,10,,,,,,,,,
300.2037097,1,2,87.12781345,10,,,,,,,,,
245.8035525,8,4,61.72463413,10,,,,,,,,,
290.8208208,2,4,77.14977664,10,,,,,,,,,
311.4342891,7,2,82.64774907,10,,,,,,,,,
165.2985659,6,9,55.60456435,10,,,,,,,,,
219.0252761,4,6,68.98316688,10,,,,,,,,,
153.8561281,7,2,74.87032885,10,,,,,,,,,
96.30859749,8,4,68.73249758,10,,,,,,,,,
143.6655249,2,4,60.31035535,10,,,,,,,,,
188.644248,5,3,83.05754572,10,,,,,,,,,
155.8288494,1,2,72.01578061,10,,,,,,,,,
239.1664321,1,2,90.13426172,10,,,,,,,,,
174.899952,5,3,85.94211114,10,,,,,,,,,
309.7369062,2,4,69.11620385,10,,,,,,,,,
124.1932667,6,9,81.58976761,10,,,,,,,,,
222.1959788,4,6,78.93098334,10,,,,,,,,,
131.3445991,1,2,69.41573478,10,,,,,,,,,
82.26547061,9,1,66.33403592,10,,,,,,,,,
225.6426566,5,3,71.09505838,10,,,,,,,,,
