,avg poll conc.,stack speed,wind speed,Wind dir,Stack height,Q,long,lat,Z0,X,Y,Z,conc. at a point,output,day,month,year
0,62.71952358,-0.384568198,3.672882127,0,249.0841651,186.717123,5,3,0.25,812,10,476,1.50E-08,78.24383225,1,1,2017
1,54.80855972,3.765338551,2.308003395,5,218.5357807,211.4194314,5,3,0.25,774,88,312,1.59E-05,70.05279046,2,1,2017
2,53.77979252,-0.443833259,6.617411045,7,256.1287809,147.3219504,6,9,0.5,875,255,821,3.42E-16,64.54231559,3,1,2017
3,68.55780111,2.63531784,3.636983832,7,248.9690371,268.7426898,4,6,0.1,929,712,570,1.35E-17,69.79803767,4,1,2017
4,57.39616321,3.178933636,5.842185318,2,257.4416094,113.3285259,7,2,1,545,774,225,5.53E-13,67.957656,5,1,2017
5,68.81955887,4.430943898,4.806749641,5,265.034601,333.0663926,1,2,0.0002,925,494,231,1.93E-17,70.28976124,6,1,2017
6,64.80369834,3.260325381,3.967838132,5,231.5054,215.7213507,7,2,1,340,948,306,1.80E-38,81.87787478,7,1,2017
7,68.72847843,2.286385104,4.646941414,0,278.4782452,115.4398873,2,4,0.005,730,201,555,7.24E-30,56.24140943,8,1,2017
8,62.73963145,5.448510033,6.72627221,3,272.3389226,133.0732715,2,4,0.005,804,308,889,2.17E-71,57.55574656,9,1,2017
9,56.01192689,1.698232601,2.992521988,7,282.504929,241.9884777,4,6,0.1,825,325,581,2.12E-15,69.04786882,10,1,2017
10,54.61623903,5.452374035,5.671916422,0,218.050817,231.0315355,3,8,0.03,152,980,274,0,65.77818582,11,1,2017
11,50.679624,5.467150729,3.133269741,4,201.5709565,208.174224,9,1,4,129,718,120,1.55E-53,50.25470942,12,1,2017
12,71.17372168,2.488871974,3.936910333,3,202.614543,234.4178888,4,6,0.1,399,582,986,6.06E-174,56.41484837,13,1,2017
13,58.25905819,3.224041155,3.702257937,2,279.8058498,201.3283078,2,4,0.005,919,188,539,3.75E-19,62.33548661,14,1,2017
14,52.96471951,2.235922822,4.495635,3,261.6759064,315.721015,2,4,0.005,853,426,757,1.48E-48,72.05187925,15,1,2017
15,48.04843133,3.447104922,5.81456228,5,257.7029126,206.3176083,6,9,0.5,700,998,534,6.87E-22,53.65999958,16,1,2017
16,51.02055021,0.994540932,6.09904013,6,252.020184,151.2126212,9,1,4,735,535,661,1.09E-08,71.10712145,17,1,2017
17,51.69450433,2.547539569,6.628085824,2,247.7840531,173.8193563,4,6,0.1,29,864,598,0,58.71212762,18,1,2017
18,58.29843337,2.381604163,2.5076248,1,230.7243106,82.80325627,7,2,1,649,260,664,2.38E-13,71.8862508,19,1,2017
19,59.78065614,1.819436388,3.29831376,6,246.3881779,100.3716819,9,1,4,711,265,191,4.52E-05,77.66033037,20,1,2017
