,avg poll conc.,stack speed,wind speed,Wind dir,Stack height,Q,long,lat,Z0,X,Y,Z,conc. at a point,output,day,month,year
0,59.13046477,2.815318793,4.376207729,3,217.9810837,205.8456438,5,3,0.25,373,131,332,1.69E-11,81.51336209,1,1,2017
1,49.94296907,0.955219306,5.905265927,6,270.411112,111.3191729,7,2,1,703,475,64,1.15E-06,70.10388662,2,1,2017
2,50.32333204,3.234636643,5.144111228,4,294.7368071,341.6124797,4,6,0.1,925,607,713,8.13E-22,68.47376976,3,1,2017
3,57.01213298,3.615611843,4.951468759,4,252.2467358,160.604759,5,3,0.25,461,590,61,8.03E-17,74.31434303,4,1,2017
4,62.30728721,2.865717791,3.046759377,6,260.8087135,314.9466719,5,3,0.25,49,258,142,2.70E-211,72.41752836,5,1,2017
5,53.10023002,5.138933493,4.89512628,7,221.3167066,272.0838335,4,6,0.1,681,831,930,3.57E-64,48.90311369,6,1,2017
6,62.32928112,3.376160823,7.026349804,1,284.877587,244.3451202,5,3,0.25,847,343,776,2.10E-19,65.62134628,7,1,2017
7,56.36969115,0.39064002,2.153004116,2,277.0508143,90.46074185,5,3,0.25,591,486,417,2.00E-14,52.64475671,8,1,2017
8,61.09789987,2.648877119,0.911604169,6,243.4778212,113.6055189,7,2,1,195,174,680,4.32E-105,70.80396534,9,1,2017
9,58.9640276,2.545603463,4.583711204,1,236.0460234,255.065054,2,4,0.005,787,197,625,9.46E-34,71.54266207,10,1,2017
10,62.388417,2.675353316,2.621056544,3,270.4081244,150.7917193,5,3,0.25,152,487,425,2.35E-167,70.03525017,11,1,2017
11,57.03969301,4.602351472,2.977265297,1,241.1792551,110.892023,3,8,0.03,807,850,425,1.06E-26,77.16786047,12,1,2017
12,73.76027705,1.847734182,2.730627545,1,205.6184247,127.5997456,5,3,0.25,663,245,660,7.79E-20,66.95979242,13,1,2017
13,49.3768147,1.74094839,3.981205321,3,240.6615602,220.7935443,5,3,0.25,109,169,127,8.78E-21,60.57800892,14,1,2017
14,67.77571585,2.72636785,4.036304338,2,289.184324,166.1955344,5,3,0.25,746,181,70,7.70E-05,65.79178063,15,1,2017
15,74.13580486,3.378362172,3.44819134,1,272.3234023,174.0939515,5,3,0.25,417,935,245,3.75E-43,73.7451483,16,1,2017
16,74.43439295,4.749886072,7.016380689,6,225.647146,215.058411,1,2,0.0002,133,624,134,0,79.03598206,17,1,2017
17,53.42077131,1.084848528,2.703388084,1,258.2305152,87.69784844,7,2,1,534,832,549,1.32E-21,63.55595673,18,1,2017
18,35.16624636,1.050016215,3.683936708,7,252.4273584,197.3114508,7,2,1,959,503,371,6.90E-07,66.44176441,19,1,2017
19,44.4980843,2.4296121,2.646662949,5,251.7276015,230.5525708,8,4,2,651,232,675,9.29E-11,80.11615311,20,1,2017
20,51.85314076,2.72473969,3.887338129,7,260.3460131,388.4995895,5,3,0.25,850,330,104,1.28E-05,89.67308208,21,1,2017
21,67.03496483,3.23813316,5.19473984,7,242.782245,182.6316776,8,4,2,371,89,112,0.00021754,73.19192559,22,1,2017
22,44.74402436,4.272665376,3.043010449,4,256.1717451,242.0919963,7,2,1,85,793,948,0,78.05109143,23,1,2017
23,62.87092441,3.182157639,5.805559671,7,282.9696656,211.8593728,2,4,0.005,619,22,702,4.66E-65,58.58188795,24,1,2017
24,57.11838,3.039336618,3.36666355,2,224.4053439,307.4296857,4,6,0.1,345,874,68,3.13E-71,69.71661675,25,1,2017
25,63.68595722,3.789861762,3.857620799,1,242.1031143,156.6165871,5,3,0.25,360,70,141,0.000610388,73.72159974,26,1,2017
26,79.23452606,3.319187032,5.277114128,0,250.0181594,189.1353619,4,6,0.1,981,311,329,8.91E-07,58.92011068,27,1,2017
27,51.28115661,4.150337273,6.325328014,4,232.0185192,213.7198642,8,4,2,590,937,162,1.30E-11,59.72629411,28,1,2017
28,59.04293146,2.249947745,2.910833601,5,284.0912234,150.3267372,6,9,0.5,386,40,337,8.31E-09,77.5247155,29,1,2017
29,65.08723738,2.460714108,4.049249431,3,272.0679021,191.4468911,9,1,4,219,425,802,3.99E-57,73.68057109,30,1,2017
