,0,1,2,3,4,5,6,7
0,24-08-2018,3.3,3.3,NE,293,248,-56.02854,-112.98057
1,10/9/2018,3.3,4.4,SW,294,245,60.61145,-97.72888
2,21-09-2018,4.8,3.3,NW,282,258,32.67718,174.46567
3,9/9/2018,5.3,5.3,SE,290,256,-10.7636,-44.46552
4,8/9/2018,4.4,5.3,S,259,260,-33.47392,112.54007
5,16-09-2018,4.8,3.2,S,295,242,-52.74249,92.00966
6,15-09-2018,3.4,3.3,SW,274,259,12.20838,-19.38203
7,5/9/2018,3.2,3.3,SW,291,248,75.94532,-81.54548
8,1/9/2018,3.8,5.3,S,281,244,53.86485,118.35644
9,12/9/2018,3.3,4.4,SE,266,266,-14.70293,160.17153
10,13-09-2018,5.3,3.4,SW,257,249,-75.61995,9.89794
11,28-08-2018,4.4,3.4,NW,287,255,17.17176,91.4323
12,8/9/2018,3.2,5.6,W,257,264,8.72284,173.06893
13,5/9/2018,3.4,3.3,SW,285,250,-22.94125,-62.63892
14,20-09-2018,5.3,5.6,NW,272,266,59.81374,168.81439
15,7/9/2018,5.3,4.4,E,299,243,-47.26653,-62.39214
16,24-08-2018,3.2,5.6,N,284,244,73.46319,168.96101
17,22-09-2018,4.4,5.6,E,299,258,31.70929,40.93774
18,30-08-2018,5.6,3.4,NW,259,248,26.6334,81.96882
19,28-08-2018,4.8,3.8,SW,298,241,80.16193,59.68219
20,21-09-2018,3.4,3.2,E,262,262,29.23058,-164.39264
21,26-08-2018,3.3,4.4,N,251,269,-84.03591,52.98523
22,20-09-2018,3.3,5.6,SW,264,254,-43.5901,29.1881
23,3/9/2018,5.3,3.2,N,292,261,-43.18716,128.78619
24,28-08-2018,3.4,3.8,N,271,259,57.11005,-52.8733
25,22-09-2018,3.4,5.3,NW,294,254,17.64798,143.62891
26,25-08-2018,3.8,5.6,SW,292,242,47.83776,112.59404
27,23-09-2018,3.8,3.3,SW,256,262,82.32944,104.95266
28,27-08-2018,5.6,3.2,SW,254,253,-29.42494,-61.85259
29,26-08-2018,5.3,5.6,W,268,267,68.05716,52.27469
30,6/9/2018,5.6,3.4,SW,250,263,-72.81247,147.86604
31,1/9/2018,4.4,4.4,NW,279,262,-25.10273,-155.68321
32,29-08-2018,3.2,3.2,SE,289,254,46.51803,-24.19304
33,4/9/2018,4.4,4.8,NE,275,247,55.52481,16.01323
34,6/9/2018,3.8,3.8,NW,281,269,10.61056,142.02952
35,31-08-2018,4.8,3.8,SW,259,240,-25.24721,74.34695
36,7/9/2018,3.8,5.6,NW,264,262,-78.33555,179.23527
37,11/9/2018,5.6,3.4,N,274,246,-22.31705,128.62731
38,18-09-2018,3.3,5.6,N,285,264,-77.59371,-129.78305
39,22-09-2018,3.8,3.8,NW,258,268,58.09571,-16.01118
40,10/9/2018,4.4,3.3,SE,263,252,63.4895,1.97399
