pollution conc.(mg/m3),date,stack speed(kph),wind speed,wind direction,stack height(250m),location,Q(kg/h)
60,24-09-2018,3.3,5.3,S,281,"60.85743, 160.81586",247
53,24-08-2018,3.3,3.3,NE,293,"-56.02854, -112.98057",248
59,10/9/2018,3.3,4.4,SW,294,"60.61145, -97.72888",245
59,21-09-2018,4.8,3.3,NW,282,"32.67718, 174.46567",258
53,9/9/2018,5.3,5.3,SE,290,"-10.7636, -44.46552",256
52,8/9/2018,4.4,5.3,S,259,"-33.47392, 112.54007",260
55,16-09-2018,4.8,3.2,S,295,"-52.74249, 92.00966",242
56,15-09-2018,3.4,3.3,SW,274,"12.20838, -19.38203",259
56,5/9/2018,3.2,3.3,SW,291,"75.94532, -81.54548",248
59,1/9/2018,3.8,5.3,S,281,"53.86485, 118.35644",244
60,12/9/2018,3.3,4.4,SE,266,"-14.70293, 160.17153",266
51,13-09-2018,5.3,3.4,SW,257,"-75.61995, 9.89794",249
56,28-08-2018,4.4,3.4,NW,287,"17.17176, 91.4323",255
57,8/9/2018,3.2,5.6,W,257,"8.72284, 173.06893",264
51,5/9/2018,3.4,3.3,SW,285,"-22.94125, -62.63892",250
57,20-09-2018,5.3,5.6,NW,272,"59.81374, 168.81439",266
56,7/9/2018,5.3,4.4,E,299,"-47.26653, -62.39214",243
57,24-08-2018,3.2,5.6,N,284,"73.46319, 168.96101",244
55,22-09-2018,4.4,5.6,E,299,"31.70929, 40.93774",258
55,30-08-2018,5.6,3.4,NW,259,"26.6334, 81.96882",248
54,28-08-2018,4.8,3.8,SW,298,"80.16193, 59.68219",241
58,21-09-2018,3.4,3.2,E,262,"29.23058, -164.39264",262
59,26-08-2018,3.3,4.4,N,251,"-84.03591, 52.98523",269
58,20-09-2018,3.3,5.6,SW,264,"-43.5901, 29.1881",254
58,3/9/2018,5.3,3.2,N,292,"-43.18716, 128.78619",261
57,28-08-2018,3.4,3.8,N,271,"57.11005, -52.8733",259
56,22-09-2018,3.4,5.3,NW,294,"17.64798, 143.62891",254
59,25-08-2018,3.8,5.6,SW,292,"47.83776, 112.59404",242
51,23-09-2018,3.8,3.3,SW,256,"82.32944, 104.95266",262
59,27-08-2018,5.6,3.2,SW,254,"-29.42494, -61.85259",253
55,26-08-2018,5.3,5.6,W,268,"68.05716, 52.27469",267
57,6/9/2018,5.6,3.4,SW,250,"-72.81247, 147.86604",263
54,1/9/2018,4.4,4.4,NW,279,"-25.10273, -155.68321",262
56,29-08-2018,3.2,3.2,SE,289,"46.51803, -24.19304",254
57,4/9/2018,4.4,4.8,NE,275,"55.52481, 16.01323",247
55,6/9/2018,3.8,3.8,NW,281,"10.61056, 142.02952",269
52,31-08-2018,4.8,3.8,SW,259,"-25.24721, 74.34695",240
50,7/9/2018,3.8,5.6,NW,264,"-78.33555, 179.23527",262
58,11/9/2018,5.6,3.4,N,274,"-22.31705, 128.62731",246
54,18-09-2018,3.3,5.6,N,285,"-77.59371, -129.78305",264
52,22-09-2018,3.8,3.8,NW,258,"58.09571, -16.01118",268
56,10/9/2018,4.4,3.3,SE,263,"63.4895, 1.97399",252
57,15-09-2018,3.8,3.4,SW,283,"-39.48771, 173.93829",268
59,26-08-2018,4.8,3.8,N,283,"-28.80802, 18.5282",252
60,17-09-2018,3.3,3.2,NE,261,"-42.33134, -95.50534",255
53,30-08-2018,3.4,4.4,SE,295,"-36.61343, 174.89608",259
58,15-09-2018,3.8,3.4,N,293,"-69.20203, 37.42486",245
57,14-09-2018,5.3,5.3,SW,290,"-52.36758, 14.4049",262
